,place,tw_visit,ym
306,Arlington_House_The_R.E._Lee_MEM_(ARHO),5.0,2016_07
307,Arlington_House_The_R.E._Lee_MEM_(ARHO),4.0,2016_08
308,Assateague_Island_NS_(ASIS),23.0,2014_01
309,Assateague_Island_NS_(ASIS),13.0,2014_02
310,Assateague_Island_NS_(ASIS),31.0,2014_03
311,Assateague_Island_NS_(ASIS),39.0,2014_04
312,Assateague_Island_NS_(ASIS),93.0,2014_05
313,Assateague_Island_NS_(ASIS),183.0,2014_06
314,Assateague_Island_NS_(ASIS),307.0,2014_07
315,Assateague_Island_NS_(ASIS),263.0,2014_08
316,Assateague_Island_NS_(ASIS),67.0,2014_09
317,Assateague_Island_NS_(ASIS),49.0,2014_10
318,Assateague_Island_NS_(ASIS),12.0,2014_11
319,Assateague_Island_NS_(ASIS),13.0,2014_12
320,Assateague_Island_NS_(ASIS),18.0,2015_01
321,Assateague_Island_NS_(ASIS),7.0,2015_02
322,Assateague_Island_NS_(ASIS),20.0,2015_03
323,Assateague_Island_NS_(ASIS),28.0,2015_04
324,Assateague_Island_NS_(ASIS),66.0,2015_05
325,Assateague_Island_NS_(ASIS),81.0,2015_06
326,Assateague_Island_NS_(ASIS),161.0,2015_07
327,Assateague_Island_NS_(ASIS),157.0,2015_08
328,Assateague_Island_NS_(ASIS),96.0,2015_09
329,Assateague_Island_NS_(ASIS),48.0,2015_10
330,Assateague_Island_NS_(ASIS),26.0,2015_11
331,Assateague_Island_NS_(ASIS),27.0,2015_12
332,Assateague_Island_NS_(ASIS),21.0,2016_01
333,Assateague_Island_NS_(ASIS),20.0,2016_02
334,Assateague_Island_NS_(ASIS),24.0,2016_03
335,Assateague_Island_NS_(ASIS),32.0,2016_04
336,Assateague_Island_NS_(ASIS),52.0,2016_05
337,Assateague_Island_NS_(ASIS),116.0,2016_06
338,Assateague_Island_NS_(ASIS),216.0,2016_07
339,Assateague_Island_NS_(ASIS),275.0,2016_08
340,Badlands_NP_(BADL),6.0,2014_01
341,Badlands_NP_(BADL),4.0,2014_02
342,Badlands_NP_(BADL),3.0,2014_03
343,Badlands_NP_(BADL),24.0,2014_04
344,Badlands_NP_(BADL),33.0,2014_05
345,Badlands_NP_(BADL),93.0,2014_06
346,Badlands_NP_(BADL),105.0,2014_07
347,Badlands_NP_(BADL),108.0,2014_08
348,Badlands_NP_(BADL),47.0,2014_09
349,Badlands_NP_(BADL),26.0,2014_10
350,Badlands_NP_(BADL),11.0,2014_11
351,Badlands_NP_(BADL),9.0,2014_12
352,Badlands_NP_(BADL),8.0,2015_01
353,Badlands_NP_(BADL),6.0,2015_02
354,Badlands_NP_(BADL),6.0,2015_03
355,Badlands_NP_(BADL),16.0,2015_04
356,Badlands_NP_(BADL),55.0,2015_05
357,Badlands_NP_(BADL),82.0,2015_06
358,Badlands_NP_(BADL),99.0,2015_07
359,Badlands_NP_(BADL),110.0,2015_08
360,Badlands_NP_(BADL),97.0,2015_09
361,Badlands_NP_(BADL),76.0,2015_10
362,Badlands_NP_(BADL),26.0,2015_11
363,Badlands_NP_(BADL),27.0,2015_12
364,Badlands_NP_(BADL),26.0,2016_01
365,Badlands_NP_(BADL),11.0,2016_02
366,Badlands_NP_(BADL),44.0,2016_03
367,Badlands_NP_(BADL),42.0,2016_04
368,Badlands_NP_(BADL),59.0,2016_05
369,Badlands_NP_(BADL),177.0,2016_06
370,Badlands_NP_(BADL),229.0,2016_07
371,Badlands_NP_(BADL),175.0,2016_08
372,Bandelier_NM_(BAND),2.0,2014_02
373,Bandelier_NM_(BAND),9.0,2014_03
374,Bandelier_NM_(BAND),6.0,2014_04
375,Bandelier_NM_(BAND),7.0,2014_05
376,Bandelier_NM_(BAND),3.0,2014_06
377,Bandelier_NM_(BAND),13.0,2014_07
378,Bandelier_NM_(BAND),5.0,2014_08
379,Bandelier_NM_(BAND),2.0,2014_09
380,Bandelier_NM_(BAND),4.0,2014_10
381,Bandelier_NM_(BAND),2.0,2014_11
382,Bandelier_NM_(BAND),4.0,2014_12
383,Bandelier_NM_(BAND),9.0,2015_01
384,Bandelier_NM_(BAND),4.0,2015_02
385,Bandelier_NM_(BAND),16.0,2015_03
386,Bandelier_NM_(BAND),16.0,2015_04
387,Bandelier_NM_(BAND),11.0,2015_05
388,Bandelier_NM_(BAND),8.0,2015_06
389,Bandelier_NM_(BAND),16.0,2015_07
390,Bandelier_NM_(BAND),12.0,2015_08
391,Bandelier_NM_(BAND),11.0,2015_09
392,Bandelier_NM_(BAND),13.0,2015_10
393,Bandelier_NM_(BAND),16.0,2015_11
394,Bandelier_NM_(BAND),8.0,2015_12
395,Bandelier_NM_(BAND),5.0,2016_01
396,Bandelier_NM_(BAND),14.0,2016_02
397,Bandelier_NM_(BAND),17.0,2016_03
398,Bandelier_NM_(BAND),14.0,2016_04
399,Bandelier_NM_(BAND),31.0,2016_05
400,Bandelier_NM_(BAND),15.0,2016_06
401,Bandelier_NM_(BAND),15.0,2016_07
402,Bandelier_NM_(BAND),31.0,2016_08
403,Bent's_Old_Fort_NHS_(BEOL),1.0,2014_03
404,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_04
405,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_05
406,Bent's_Old_Fort_NHS_(BEOL),2.0,2014_06
407,Bent's_Old_Fort_NHS_(BEOL),2.0,2014_07
408,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_08
409,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_09
410,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_10
411,Bent's_Old_Fort_NHS_(BEOL),2.0,2014_11
412,Bent's_Old_Fort_NHS_(BEOL),0.0,2014_12
413,Bent's_Old_Fort_NHS_(BEOL),1.0,2015_01
414,Bent's_Old_Fort_NHS_(BEOL),1.0,2015_02
415,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_03
416,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_04
417,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_05
418,Bent's_Old_Fort_NHS_(BEOL),1.0,2015_06
419,Bent's_Old_Fort_NHS_(BEOL),1.0,2015_07
420,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_08
421,Bent's_Old_Fort_NHS_(BEOL),2.0,2015_09
422,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_10
423,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_11
424,Bent's_Old_Fort_NHS_(BEOL),0.0,2015_12
425,Bent's_Old_Fort_NHS_(BEOL),0.0,2016_01
426,Bent's_Old_Fort_NHS_(BEOL),1.0,2016_02
427,Bent's_Old_Fort_NHS_(BEOL),1.0,2016_03
428,Bent's_Old_Fort_NHS_(BEOL),1.0,2016_04
429,Bent's_Old_Fort_NHS_(BEOL),1.0,2016_05
430,Bent's_Old_Fort_NHS_(BEOL),3.0,2016_06
431,Bent's_Old_Fort_NHS_(BEOL),1.0,2016_07
432,Bent's_Old_Fort_NHS_(BEOL),0.0,2016_08
433,Bering_Land_Bridge_NPRES_(BELA),1.0,2014_01
434,Bering_Land_Bridge_NPRES_(BELA),0.0,2014_02
435,Bering_Land_Bridge_NPRES_(BELA),3.0,2014_03
436,Bering_Land_Bridge_NPRES_(BELA),2.0,2014_04
437,Bering_Land_Bridge_NPRES_(BELA),0.0,2014_05
438,Bering_Land_Bridge_NPRES_(BELA),0.0,2014_06
439,Bering_Land_Bridge_NPRES_(BELA),1.0,2014_07
440,Bering_Land_Bridge_NPRES_(BELA),1.0,2014_08
441,Bering_Land_Bridge_NPRES_(BELA),1.0,2014_09
442,Bering_Land_Bridge_NPRES_(BELA),0.0,2014_10
443,Bering_Land_Bridge_NPRES_(BELA),0.0,2014_11
444,Bering_Land_Bridge_NPRES_(BELA),1.0,2014_12
445,Bering_Land_Bridge_NPRES_(BELA),0.0,2015_01
446,Bering_Land_Bridge_NPRES_(BELA),0.0,2015_02
447,Bering_Land_Bridge_NPRES_(BELA),4.0,2015_03
448,Bering_Land_Bridge_NPRES_(BELA),6.0,2015_04
449,Bering_Land_Bridge_NPRES_(BELA),1.0,2015_05
450,Bering_Land_Bridge_NPRES_(BELA),1.0,2015_06
451,Bering_Land_Bridge_NPRES_(BELA),4.0,2015_07
452,Bering_Land_Bridge_NPRES_(BELA),1.0,2015_08
453,Bering_Land_Bridge_NPRES_(BELA),2.0,2015_09
454,Bering_Land_Bridge_NPRES_(BELA),2.0,2015_10
455,Bering_Land_Bridge_NPRES_(BELA),0.0,2015_11
456,Bering_Land_Bridge_NPRES_(BELA),4.0,2015_12
457,Bering_Land_Bridge_NPRES_(BELA),3.0,2016_01
458,Bering_Land_Bridge_NPRES_(BELA),4.0,2016_02
459,Bering_Land_Bridge_NPRES_(BELA),1.0,2016_03
460,Bering_Land_Bridge_NPRES_(BELA),5.0,2016_04
461,Bering_Land_Bridge_NPRES_(BELA),1.0,2016_05
462,Bering_Land_Bridge_NPRES_(BELA),12.0,2016_06
463,Bering_Land_Bridge_NPRES_(BELA),4.0,2016_07
464,Bering_Land_Bridge_NPRES_(BELA),3.0,2016_08
465,Big_Bend_NP_(BIBE),25.0,2014_01
466,Big_Bend_NP_(BIBE),17.0,2014_02
467,Big_Bend_NP_(BIBE),55.0,2014_03
468,Big_Bend_NP_(BIBE),29.0,2014_04
469,Big_Bend_NP_(BIBE),27.0,2014_05
470,Big_Bend_NP_(BIBE),25.0,2014_06
471,Big_Bend_NP_(BIBE),21.0,2014_07
472,Big_Bend_NP_(BIBE),18.0,2014_08
473,Big_Bend_NP_(BIBE),32.0,2014_09
474,Big_Bend_NP_(BIBE),20.0,2014_10
475,Big_Bend_NP_(BIBE),22.0,2014_11
476,Big_Bend_NP_(BIBE),18.0,2014_12
477,Big_Bend_NP_(BIBE),23.0,2015_01
