place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,2013,"88,743","78,386","127,171","100,275","116,898","86,589","89,250","95,633","71,654","46,085","83,557","40,910","1,025,151"
,,,,,,,,,,,,,,
Andersonville NHS (ANDE),2016,"6,777","8,262","13,240","12,879","16,469","10,019","10,901","8,462","11,713",,,,"98,722"
,2015,"7,900","8,624","12,036","12,848","17,562","10,910","11,460","9,178","14,829","13,080","9,049","9,210","136,686"
,2014,"5,725","8,334","11,417","12,201","17,196","11,835","9,790","9,173","10,524","12,486","10,698","7,810","127,189"
,2013,"6,953","7,749","11,986","10,680","11,186","6,946","5,068","4,009","11,010","5,889","9,039","8,256","98,771"
,,,,,,,,,,,,,,
Andrew Johnson NHS,2016,"1,813","1,743","3,371","4,013","6,648","4,582","5,612","4,690","3,060",,,,"35,532"
,2015,"2,407","1,252","2,777","3,467","6,914","4,157","3,624","4,325","4,222","4,697","3,366","4,149","45,357"
,2014,"1,943","1,890","3,260","3,629","7,184","3,765","4,296","3,548","2,960","4,406","2,755","3,227","42,863"
,2013,"2,759","2,095","3,407","3,417","5,752","4,283","4,129","3,972","4,201","1,997","3,293","3,624","42,929"
,,,,,,,,,,,,,,
Aniakchak NM & PRES (ANIA),2016,0,,,,,,,,,,,,0
,2015,0,0,0,0,0,61,44,27,16,5,0,0,153
,2014,0,0,0,0,0,11,50,62,11,0,0,0,134
,2013,0,0,0,0,0,11,50,62,11,0,0,0,134
,,,,,,,,,,,,,,
Antietam NB (ANTI),2016,"5,906","7,372","22,624","24,495","34,306","41,630","71,040","36,373","33,925",,,,"277,671"
,2015,"6,878","2,404","15,558","30,238","44,958","39,867","58,273","42,084","35,612","35,042","19,503","16,763","347,180"
,2014,"4,841","4,766","15,327","26,723","39,202","41,851","63,976","37,011","30,709","36,143","18,209","18,321","337,079"
,2013,936,"8,836","22,256","35,053","44,650","47,740","79,760","43,477","40,546","14,578","16,939","16,061","370,832"
,,,,,,,,,,,,,,
Apostle Islands NL (APIS),2016,"1,705","1,803","2,515","2,129","9,862","25,404","41,773","56,166","26,710",,,,"168,067"
,2015,"1,831","9,818","35,092","2,849","5,908","23,867","53,910","58,277","26,057","10,962","2,344","1,747","232,662"
,2014,"12,824","68,392","65,536",998,"7,972","21,671","31,499","49,734","19,723","8,189","2,461","1,060","290,059"
,2013,"1,712","1,848","1,473","2,948","6,513","23,334","36,425","45,600","19,422","6,504","1,829",948,"148,556"
,,,,,,,,,,,,,,
Appomattox Court House NHP (APCO),2016,"3,831","4,723","26,491","32,714","33,602","40,858","45,410","31,201","28,784",,,,"247,614"
,2015,"4,603","3,497","14,118","141,819","45,075","43,243","47,805","34,417","30,186","29,340","11,981","6,556","412,640"
,2014,"3,883","3,026","12,859","35,419","37,288","34,846","43,560","33,693","26,271","29,061","12,636","6,234","278,776"
,2013,"5,058","5,075","18,604","38,996","49,874","45,141","49,764","37,720","32,444","14,450","14,552","5,982","317,660"
,,,,,,,,,,,,,,
Arches NP (ARCH),2016,"20,311","33,200","119,122","151,112","201,718","211,706","210,359","188,340","200,906",,,,"1,336,774"
,2015,"20,699","34,255","103,649","138,903","179,804","189,073","195,748","173,186","171,711","115,859","49,087","27,273","1,399,247"
,2014,"17,038","22,559","89,841","122,186","165,379","170,286","169,844","173,416","165,222","115,545","46,940","26,511","1,284,767"
,2013,"11,099","16,426","73,935","108,086","149,321","154,505","156,182","147,259","143,755","57,446","43,928","20,924","1,082,866"
,,,,,,,,,,,,,,
Arkansas Post NMEM (ARPO),2016,"1,516","1,869","3,129","4,555","3,818","2,870","4,290","3,268","2,065",,,,"27,380"
,2015,"2,409","1,359","3,428","3,322","6,456","3,564","4,913","3,252","2,971","2,695","1,695","2,638","38,702"
,2014,"1,413","1,686","2,429","3,658","5,047","2,686","2,467","2,538","1,548","3,151","2,110","2,127","30,860"
,2013,"3,500","1,741","2,393","3,523","5,378","3,534","3,319","3,215","2,507","2,394","2,806","2,110","36,420"
,,,,,,,,,,,,,,
Arlington House The R.E. Lee MEM (ARHO),2016,"11,520","65,007","67,212","95,971","105,233","102,537","103,645","102,537","104,854",,,,"758,516"
